species;body_size;synonym;class;corrected_status;corrected_code;corrected_agreg_ts
Irania gutturalis;21.60;NA;Aves;Least Concern;LC;not_threatened
Ixobrychus minutus;99.49;NA;Aves;Least Concern;LC;not_threatened
Jynx torquilla;34.96;NA;Aves;Least Concern;LC;not_threatened
Lagopus lagopus;566.86;NA;Aves;Least Concern;LC;not_threatened
Lagopus muta;535.30;NA;Aves;Least Concern;LC;not_threatened
Lanius collurio;28.44;NA;Aves;Least Concern;LC;not_threatened
Lanius excubitor;63.41;NA;Aves;Least Concern;LC;not_threatened
Lanius minor;46.49;NA;Aves;Least Concern;LC;not_threatened
Lanius nubicus;19.70;NA;Aves;Least Concern;LC;not_threatened
Larus argentatus;1090.99;NA;Aves;Least Concern;LC;not_threatened
Larus armenicus;866.99;NA;Aves;Least Concern;LC;not_threatened
Larus cachinnans;1111.89;NA;Aves;Least Concern;LC;not_threatened
Larus canus;412.53;NA;Aves;Least Concern;LC;not_threatened
Larus fuscus;762.36;NA;Aves;Least Concern;LC;not_threatened
Larus glaucoides;693.31;NA;Aves;Least Concern;LC;not_threatened
Larus hyperboreus;1529.04;NA;Aves;Least Concern;LC;not_threatened
Larus marinus;1649.71;NA;Aves;Least Concern;LC;not_threatened
Locustella fluviatilis;16.10;NA;Aves;Least Concern;LC;not_threatened
Locustella lanceolata;10.60;NA;Aves;Least Concern;LC;not_threatened
Locustella luscinioides;13.89;NA;Aves;Least Concern;LC;not_threatened
Locustella naevia;13.30;NA;Aves;Least Concern;LC;not_threatened
Loxia curvirostra;38.29;NA;Aves;Least Concern;LC;not_threatened
Loxia leucoptera;28.69;NA;Aves;Least Concern;LC;not_threatened
Loxia pytyopsittacus;53.00;NA;Aves;Least Concern;LC;not_threatened
Loxia scotica;43.17;NA;Aves;Least Concern;LC;not_threatened
Lullula arborea;26.90;NA;Aves;Least Concern;LC;not_threatened
Luscinia luscinia;23.80;NA;Aves;Least Concern;LC;not_threatened
Luscinia megarhynchos;19.60;NA;Aves;Least Concern;LC;not_threatened
Luscinia svecica;17.23;NA;Aves;Least Concern;LC;not_threatened
Lymnocryptes minimus;50.07;NA;Aves;Least Concern;LC;not_threatened
Melanitta nigra;1049.98;NA;Aves;Least Concern;LC;not_threatened
Melanocorypha bimaculata;54.10;NA;Aves;Least Concern;LC;not_threatened
Melanocorypha calandra;61.60;NA;Aves;Least Concern;LC;not_threatened
Mergellus albellus;608.55;NA;Aves;Least Concern;LC;not_threatened
Mergus merganser;1451.02;NA;Aves;Least Concern;LC;not_threatened
Mergus serrator;1015.17;NA;Aves;Least Concern;LC;not_threatened
Merops apiaster;56.60;NA;Aves;Least Concern;LC;not_threatened
Merops superciliosus;38.50;NA;Aves;Least Concern;LC;not_threatened
Milvus migrans;734.10;NA;Aves;Least Concern;LC;not_threatened
Milvus milvus;1071.77;NA;Aves;Least Concern;LC;not_threatened
Monticola saxatilis;50.30;NA;Aves;Least Concern;LC;not_threatened
Monticola solitarius;53.65;NA;Aves;Least Concern;LC;not_threatened
Montifringilla nivalis;36.90;NA;Aves;Least Concern;LC;not_threatened
Morus bassanus;2998.74;NA;Aves;Least Concern;LC;not_threatened
Motacilla alba;23.93;NA;Aves;Least Concern;LC;not_threatened
Motacilla cinerea;17.15;NA;Aves;Least Concern;LC;not_threatened
Motacilla citreola;19.11;NA;Aves;Least Concern;LC;not_threatened
Motacilla flava;17.68;NA;Aves;Least Concern;LC;not_threatened
Muscicapa striata;15.90;NA;Aves;Least Concern;LC;not_threatened
Netta rufina;1118.00;NA;Aves;Least Concern;LC;not_threatened
Nucifraga caryocatactes;182.51;NA;Aves;Least Concern;LC;not_threatened
Numenius phaeopus;364.57;NA;Aves;Least Concern;LC;not_threatened
Nycticorax nycticorax;810.00;NA;Aves;Least Concern;LC;not_threatened
Oenanthe chrysopygia;22.70;NA;Aves;Least Concern;LC;not_threatened
Oenanthe cypriaca;16.61;NA;Aves;Least Concern;LC;not_threatened
Oenanthe deserti;19.84;NA;Aves;Least Concern;LC;not_threatened
Oenanthe finschii;27.38;NA;Aves;Least Concern;LC;not_threatened
Oenanthe hispanica;15.04;NA;Aves;Least Concern;LC;not_threatened
Oenanthe isabellina;29.40;NA;Aves;Least Concern;LC;not_threatened
Oenanthe leucura;41.00;NA;Aves;Least Concern;LC;not_threatened
Oenanthe oenanthe;25.39;NA;Aves;Least Concern;LC;not_threatened
Oenanthe pleschanka;19.36;NA;Aves;Least Concern;LC;not_threatened
Oriolus oriolus;79.00;NA;Aves;Least Concern;LC;not_threatened
Otus brucei;84.35;NA;Aves;Least Concern;LC;not_threatened
Otus scops;92.00;NA;Aves;Least Concern;LC;not_threatened
Pandion haliaetus;1483.20;NA;Aves;Least Concern;LC;not_threatened
Panurus biarmicus;13.82;NA;Aves;Least Concern;LC;not_threatened
Parus major;16.25;NA;Aves;Least Concern;LC;not_threatened
Passer domesticus;26.51;NA;Aves;Least Concern;LC;not_threatened
Passer hispaniolensis;24.20;NA;Aves;Least Concern;LC;not_threatened
Passer moabiticus;16.46;NA;Aves;Least Concern;LC;not_threatened
Passer montanus;21.39;NA;Aves;Least Concern;LC;not_threatened
Pelecanus onocrotalus;9322.31;NA;Aves;Least Concern;LC;not_threatened
Perdix perdix;405.30;NA;Aves;Least Concern;LC;not_threatened
Perisoreus infaustus;84.40;NA;Aves;Least Concern;LC;not_threatened
Pernis apivorus;754.37;NA;Aves;Least Concern;LC;not_threatened
Petronia petronia;30.20;NA;Aves;Least Concern;LC;not_threatened
Phaethon aethereus;749.99;NA;Aves;Least Concern;LC;not_threatened
Phalacrocorax carbo;2528.97;NA;Aves;Least Concern;LC;not_threatened
Phalaropus fulicarius;55.59;NA;Aves;Least Concern;LC;not_threatened
Phalaropus lobatus;36.68;NA;Aves;Least Concern;LC;not_threatened
Phasianus colchicus;1120.31;NA;Aves;Least Concern;LC;not_threatened
Phoenicopterus roseus;3031.59;NA;Aves;Least Concern;LC;not_threatened
Phoenicurus ochruros;16.50;NA;Aves;Least Concern;LC;not_threatened
Phoenicurus phoenicurus;14.59;NA;Aves;Least Concern;LC;not_threatened
Phylloscopus bonelli;8.69;NA;Aves;Least Concern;LC;not_threatened
Phylloscopus borealis;10.89;NA;Aves;Least Concern;LC;not_threatened
Phylloscopus collybita;8.30;NA;Aves;Least Concern;LC;not_threatened
Phylloscopus inornatus;6.59;NA;Aves;Least Concern;LC;not_threatened
Phylloscopus sindianus;7.51;NA;Aves;Least Concern;LC;not_threatened
Phylloscopus trochiloides;8.05;NA;Aves;Least Concern;LC;not_threatened
Phylloscopus trochilus;8.70;NA;Aves;Least Concern;LC;not_threatened
Pica pica;217.48;NA;Aves;Least Concern;LC;not_threatened
Picoides tridactylus;65.49;NA;Aves;Least Concern;LC;not_threatened
Picus canus;137.00;NA;Aves;Least Concern;LC;not_threatened
Picus viridis;176.00;NA;Aves;Least Concern;LC;not_threatened
Pinicola enucleator;56.40;NA;Aves;Least Concern;LC;not_threatened
Platalea leucorodia;1868.00;NA;Aves;Least Concern;LC;not_threatened
Plectrophenax nivalis;42.20;NA;Aves;Least Concern;LC;not_threatened
Plegadis falcinellus;626.61;NA;Aves;Least Concern;LC;not_threatened
Pluvialis apricaria;214.00;NA;Aves;Least Concern;LC;not_threatened
Pluvialis squatarola;250.00;NA;Aves;Least Concern;LC;not_threatened
Podiceps cristatus;730.96;NA;Aves;Least Concern;LC;not_threatened
Podiceps grisegena;1023.00;NA;Aves;Least Concern;LC;not_threatened
Podiceps nigricollis;412.44;NA;Aves;Least Concern;LC;not_threatened
Porphyrio porphyrio;773.88;NA;Aves;Least Concern;LC;not_threatened
Porzana porzana;87.10;NA;Aves;Least Concern;LC;not_threatened
Prinia gracilis;7.10;NA;Aves;Least Concern;LC;not_threatened
Prunella atrogularis;18.50;NA;Aves;Least Concern;LC;not_threatened
Prunella collaris;38.61;NA;Aves;Least Concern;LC;not_threatened
Prunella modularis;20.24;NA;Aves;Least Concern;LC;not_threatened
Prunella montanella;17.00;NA;Aves;Least Concern;LC;not_threatened
Prunella ocularis;22.50;NA;Aves;Least Concern;LC;not_threatened
Pterocles alchata;275.79;NA;Aves;Least Concern;LC;not_threatened
Pterocles orientalis;404.87;NA;Aves;Least Concern;LC;not_threatened
Ptyonoprogne rupestris;20.48;NA;Aves;Least Concern;LC;not_threatened
Puffinus puffinus;453.26;NA;Aves;Least Concern;LC;not_threatened
Pycnonotus xanthopygos;37.64;NA;Aves;Least Concern;LC;not_threatened
Pyrrhocorax graculus;211.00;NA;Aves;Least Concern;LC;not_threatened
Pyrrhocorax pyrrhocorax;276.68;NA;Aves;Least Concern;LC;not_threatened
Pyrrhula pyrrhula;24.26;NA;Aves;Least Concern;LC;not_threatened
Rallus aquaticus;110.67;NA;Aves;Least Concern;LC;not_threatened
Recurvirostra avosetta;304.00;NA;Aves;Least Concern;LC;not_threatened
Regulus regulus;5.54;NA;Aves;Least Concern;LC;not_threatened
Remiz pendulinus;9.30;NA;Aves;Least Concern;LC;not_threatened
Rhodospiza obsoleta;20.41;NA;Aves;Least Concern;LC;not_threatened
Riparia riparia;12.68;NA;Aves;Least Concern;LC;not_threatened
Saxicola rubetra;16.60;NA;Aves;Least Concern;LC;not_threatened
Scolopax rusticola;308.31;NA;Aves;Least Concern;LC;not_threatened
Serinus canaria;24.30;NA;Aves;Least Concern;LC;not_threatened
Serinus pusillus;11.54;NA;Aves;Least Concern;LC;not_threatened
Serinus serinus;11.20;NA;Aves;Least Concern;LC;not_threatened
Sitta europaea;20.37;NA;Aves;Least Concern;LC;not_threatened
Sitta krueperi;12.40;NA;Aves;Least Concern;LC;not_threatened
Sitta neumayer;26.50;NA;Aves;Least Concern;LC;not_threatened
Sitta tephronota;35.20;NA;Aves;Least Concern;LC;not_threatened
Somateria spectabilis;1616.71;NA;Aves;Least Concern;LC;not_threatened
Stercorarius longicaudus;287.90;NA;Aves;Least Concern;LC;not_threatened
Stercorarius parasiticus;444.31;NA;Aves;Least Concern;LC;not_threatened
Stercorarius pomarinus;692.47;NA;Aves;Least Concern;LC;not_threatened
Sterna dougallii;112.00;NA;Aves;Least Concern;LC;not_threatened
Sterna hirundo;129.15;NA;Aves;Least Concern;LC;not_threatened
Sterna paradisaea;110.00;NA;Aves;Least Concern;LC;not_threatened
Streptopelia decaocto;148.96;NA;Aves;Least Concern;LC;not_threatened
Strix aluco;472.46;NA;Aves;Least Concern;LC;not_threatened
Strix nebulosa;1061.89;NA;Aves;Least Concern;LC;not_threatened
Strix uralensis;780.56;NA;Aves;Least Concern;LC;not_threatened
Sturnus unicolor;83.66;NA;Aves;Least Concern;LC;not_threatened
Sturnus vulgaris;77.14;NA;Aves;Least Concern;LC;not_threatened
Surnia ulula;319.90;NA;Aves;Least Concern;LC;not_threatened
Sylvia atricapilla;16.70;NA;Aves;Least Concern;LC;not_threatened
Sylvia borin;18.20;NA;Aves;Least Concern;LC;not_threatened
Tachybaptus ruficollis;169.43;NA;Aves;Least Concern;LC;not_threatened
Tadorna ferruginea;1235.03;NA;Aves;Least Concern;LC;not_threatened
Tadorna tadorna;1146.83;NA;Aves;Least Concern;LC;not_threatened
Tarsiger cyanurus;13.43;NA;Aves;Least Concern;LC;not_threatened
Tetrao urogallus;2716.61;NA;Aves;Least Concern;LC;not_threatened
Tetraogallus caspius;2508.24;NA;Aves;Least Concern;LC;not_threatened
Tetraogallus caucasicus;1830.79;NA;Aves;Least Concern;LC;not_threatened
Tichodroma muraria;17.60;NA;Aves;Least Concern;LC;not_threatened
Tringa erythropus;158.00;NA;Aves;Least Concern;LC;not_threatened
Tringa glareola;62.05;NA;Aves;Least Concern;LC;not_threatened
Tringa nebularia;187.00;NA;Aves;Least Concern;LC;not_threatened
Tringa ochropus;71.40;NA;Aves;Least Concern;LC;not_threatened
Tringa stagnatilis;77.50;NA;Aves;Least Concern;LC;not_threatened
Tringa totanus;129.00;NA;Aves;Least Concern;LC;not_threatened
Troglodytes troglodytes;9.74;NA;Aves;Least Concern;LC;not_threatened
Turdus merula;102.73;NA;Aves;Least Concern;LC;not_threatened
Turdus philomelos;67.74;NA;Aves;Least Concern;LC;not_threatened
Turdus pilaris;106.00;NA;Aves;Least Concern;LC;not_threatened
Turdus ruficollis;80.55;NA;Aves;Least Concern;LC;not_threatened
Turdus torquatus;109.00;NA;Aves;Least Concern;LC;not_threatened
Turdus viscivorus;117.37;NA;Aves;Least Concern;LC;not_threatened
Tyto alba;403.32;NA;Aves;Least Concern;LC;not_threatened
Upupa epops;66.93;NA;Aves;Least Concern;LC;not_threatened
Uria aalge;991.93;NA;Aves;Least Concern;LC;not_threatened
Uria lomvia;963.99;NA;Aves;Least Concern;LC;not_threatened
Xenus cinereus;78.80;NA;Aves;Least Concern;LC;not_threatened
Zoothera dauma;134.13;NA;Aves;Least Concern;LC;not_threatened
Aegypius monachus;9320.55;NA;Aves;Near Threatened;NT;not_threatened
Alectoris graeca;594.11;NA;Aves;Near Threatened;NT;not_threatened
Alectoris rufa;527.86;NA;Aves;Near Threatened;NT;not_threatened
Aythya nyroca;574.00;NA;Aves;Near Threatened;NT;not_threatened
Calidris canutus;141.87;NA;Aves;Near Threatened;NT;not_threatened
Caprimulgus ruficollis;68.50;NA;Aves;Near Threatened;NT;not_threatened
Circus macrourus;384.36;NA;Aves;Near Threatened;NT;not_threatened
Emberiza cineracea;24.30;NA;Aves;Near Threatened;NT;not_threatened
Fringilla teydea;30.30;NA;Aves;Near Threatened;NT;not_threatened
Gallinago media;169.96;NA;Aves;Near Threatened;NT;not_threatened
Gavia adamsii;4944.34;NA;Aves;Near Threatened;NT;not_threatened
Glareola nordmanni;97.19;NA;Aves;Near Threatened;NT;not_threatened
Gypaetus barbatus;5694.98;NA;Aves;Near Threatened;NT;not_threatened
Haematopus ostralegus;526.00;NA;Aves;Near Threatened;NT;not_threatened
Lanius senator;35.97;NA;Aves;Near Threatened;NT;not_threatened
Limosa lapponica;291.65;NA;Aves;Near Threatened;NT;not_threatened
Limosa limosa;288.37;NA;Aves;Near Threatened;NT;not_threatened
Marmaronetta angustirostris;477.00;NA;Aves;Near Threatened;NT;not_threatened
Numenius arquata;802.99;NA;Aves;Near Threatened;NT;not_threatened
Pagophila eburnea;549.99;NA;Aves;Near Threatened;NT;not_threatened
Pelecanus crispus;9512.09;NA;Aves;Near Threatened;NT;not_threatened
Saxicola dacotiae;12.20;NA;Aves;Near Threatened;NT;not_threatened
Somateria mollissima;2060.93;NA;Aves;Near Threatened;NT;not_threatened
Tetrax tetrax;833.45;NA;Aves;Near Threatened;NT;not_threatened
Turdus iliacus;61.20;NA;Aves;Near Threatened;NT;not_threatened
Vanellus vanellus;218.37;NA;Aves;Near Threatened;NT;not_threatened
Emberiza aureola;19.60;NA;Aves;Critically Endangered;CE;threatened
Vanellus gregarius;224.49;NA;Aves;Critically Endangered;CE;threatened
Aquila nipalensis;2714.33;NA;Aves;Endangered;EN;threatened
Falco cherrug;961.21;NA;Aves;Endangered;EN;threatened
Neophron percnopterus;2082.00;NA;Aves;Endangered;EN;threatened
Oxyura leucocephala;661.09;NA;Aves;Endangered;EN;threatened
Rhodopechys sanguinea;NA;Rhodopechys sanguineus;Aves;Least Concern;VU;threatened
Acrocephalus paludicola;11.60;NA;Aves;Vulnerable;VU;threatened
Anser erythropus;1755.50;NA;Aves;Vulnerable;VU;threatened
Aquila adalberti;2958.03;NA;Aves;Vulnerable;VU;threatened
Aquila heliaca;3125.21;NA;Aves;Vulnerable;VU;threatened
Aythya ferina;822.99;NA;Aves;Vulnerable;VU;threatened
Chersophilus duponti;39.40;NA;Aves;Vulnerable;VU;threatened
Clangula hyemalis;871.00;NA;Aves;Vulnerable;VU;threatened
Emberiza rustica;20.54;NA;Aves;Vulnerable;VU;threatened
Falco vespertinus;151.49;NA;Aves;Vulnerable;VU;threatened
Fratercula arctica;593.01;NA;Aves;Vulnerable;VU;threatened
Lanius meridionalis;60.43;NA;Aves;Vulnerable;VU;threatened
Melanitta fusca;1800.17;NA;Aves;Vulnerable;VU;threatened
Otis tarda;6759.92;NA;Aves;Vulnerable;VU;threatened
Passer italiae;27.30;Passer italiae;Aves;Vulnerable;VU;threatened
Podiceps auritus;453.00;NA;Aves;Vulnerable;VU;threatened
Polysticta stelleri;806.76;NA;Aves;Vulnerable;VU;threatened
Puffinus yelkouan;497.00;NA;Aves;Vulnerable;VU;threatened
Pyrrhula murina;30.00;NA;Aves;Vulnerable;VU;threatened
Rissa tridactyla;415.99;NA;Aves;Vulnerable;VU;threatened
Sitta whiteheadi;11.80;NA;Aves;Vulnerable;VU;threatened
Streptopelia turtur;132.00;NA;Aves;Vulnerable;VU;threatened
Crocidura armenica;10.35;NA;Mammalia;Data Deficient;DD;none
Microtus nasarovi;NA;Microtus nasarovi;Mammalia;Data Deficient;DD;none
Cercotrichas galactotes;22.47;NA;Aves;Least Concern;LC;not_threatened
Corvus monedula;246.00;NA;Aves;Least Concern;LC;not_threatened
Gerbillus dasyurus;22.60;NA;Mammalia;Least Concern;LC;not_threatened
Larus genei;281.00;NA;Aves;Least Concern;LC;not_threatened
Larus ichthyaetus;1378.84;NA;Aves;Least Concern;LC;not_threatened
Larus melanocephalus;256.00;NA;Aves;Least Concern;LC;not_threatened
Larus ridibundus;284.00;NA;Aves;Least Concern;LC;not_threatened
Phylloscopus sibilatrix;9.20;NA;Aves;Least Concern;LC;not_threatened
Capra aegagrus;NA;Capra aegagrus;Mammalia;Near Threatened;NT;not_threatened
Capra cylindricornis;50000.00;NA;Mammalia;Near Threatened;NT;not_threatened
Rana holtzi;NA;Rana holtzi;Amphibia;Critically Endangered;CE;threatened
Larus audouinii;534.99;NA;Aves;Vulnerable;VU;threatened
Spalax leucodon;188.67;Nannospalax leucodon;Mammalia;Data Deficient;DD;none
Ovis aries;50000.00;NA;Mammalia;Not Applicable;NA;none
Diplomesodon pulchellum;11.00;Diplomesodon pulchellus;Mammalia;Least Concern;LC;not_threatened
Microtus oeconomus;34.38;Alexandromys oeconomus;Mammalia;Least Concern;LC;not_threatened
Spalax ehrenbergi;164.35;Nannospalax ehrenbergi;Mammalia;Least Concern;LC;not_threatened
Ovis orientalis;NA;Ovis gmelini;Mammalia;Near Threatened;NT;not_threatened
Acomys cilicicus;28.61;NA;Mammalia;Data Deficient;DD;none
Acomys minous;62.50;NA;Mammalia;Data Deficient;DD;none
Acomys nesiotes;28.67;NA;Mammalia;Data Deficient;DD;none
Crocidura caspica;10.42;NA;Mammalia;Data Deficient;DD;none
Dryomys laniger;20.00;NA;Mammalia;Data Deficient;DD;none
Microtus anatolicus;37.99;NA;Mammalia;Data Deficient;DD;none
Myomimus setzeri;37.74;NA;Mammalia;Data Deficient;DD;none
Myotis alcathoe;7.74;NA;Mammalia;Data Deficient;DD;none
Myotis punicus;7.74;NA;Mammalia;Data Deficient;DD;none
Talpa davidiana;80.28;NA;Mammalia;Data Deficient;DD;none
Allactaga elater;59.00;Scarturus elater;Mammalia;Least Concern;LC;not_threatened
Allactaga euphratica;232.00;Scarturus euphratica;Mammalia;Least Concern;LC;not_threatened
Allactaga williamsi;116.74;Scarturus williamsi;Mammalia;Least Concern;LC;not_threatened
Alopex lagopus;NA;Vulpes lagopus;Mammalia;Least Concern;LC;not_threatened
Chionomys nivalis;54.00;Chionomys syriacus;Mammalia;Least Concern;LC;not_threatened
Cricetulus migratorius;38.50;Nothocricetulus migratorius;Mammalia;Least Concern;LC;not_threatened
Microtus gerbei;24.89;Microtus gerbii;Mammalia;Least Concern;LC;not_threatened
Microtus gregalis;47.50;Lasiopodomys gregalis;Mammalia;Least Concern;LC;not_threatened
Microtus levis;35.49;Microtus mystacinus;Mammalia;Least Concern;LC;not_threatened
Microtus liechtesteini;23.50;Microtus liechtensteini;Mammalia;Least Concern;LC;not_threatened
Microtus middendorffii;36.49;Alexandromys middendorffii;Mammalia;Least Concern;LC;not_threatened
Myodes glareolus;20.73;Clethrionomys glareolus;Mammalia;Least Concern;LC;not_threatened
Myodes rufocanus;36.43;Craseomys rufocanus;Mammalia;Least Concern;LC;not_threatened
Myodes rutilus;19.94;Clethrionomys rutilus;Mammalia;Least Concern;LC;not_threatened
Pipistrellus savii;NA;Hypsugo savii;Mammalia;Least Concern;LC;not_threatened
Spalax nehringi;295.05;Nannospalax xanthodon;Mammalia;Least Concern;LC;not_threatened
Tamias sibiricus;85.00;Eutamias sibiricus;Mammalia;Least Concern;LC;not_threatened
Alces alces;356998.16;NA;Mammalia;Least Concern;LC;not_threatened
Allactaga major;350.00;NA;Mammalia;Least Concern;LC;not_threatened
Allactaga sibirica;97.50;NA;Mammalia;Least Concern;LC;not_threatened
Allocricetulus eversmanni;115.56;NA;Mammalia;Least Concern;LC;not_threatened
Apodemus agrarius;23.30;NA;Mammalia;Least Concern;LC;not_threatened
Apodemus alpicola;28.06;NA;Mammalia;Least Concern;LC;not_threatened
Apodemus epimelas;28.07;NA;Mammalia;Least Concern;LC;not_threatened
Apodemus flavicollis;26.70;NA;Mammalia;Least Concern;LC;not_threatened
Apodemus mystacinus;45.60;NA;Mammalia;Least Concern;LC;not_threatened
Apodemus ponticus;25.76;NA;Mammalia;Least Concern;LC;not_threatened
Apodemus sylvaticus;30.45;NA;Mammalia;Least Concern;LC;not_threatened
Apodemus uralensis;17.10;NA;Mammalia;Least Concern;LC;not_threatened
Apodemus witherbyi;20.66;NA;Mammalia;Least Concern;LC;not_threatened
Arvicola amphibius;120.00;NA;Mammalia;Least Concern;LC;not_threatened
Arvicola scherman;162.48;NA;Mammalia;Least Concern;LC;not_threatened
Atelerix algirus;1250.00;NA;Mammalia;Least Concern;LC;not_threatened
Calomyscus urartensis;21.22;NA;Mammalia;Least Concern;LC;not_threatened
Canis aureus;10345.23;NA;Mammalia;Least Concern;LC;not_threatened
Canis lupus;32183.33;NA;Mammalia;Least Concern;LC;not_threatened
Capra ibex;85166.51;NA;Mammalia;Least Concern;LC;not_threatened
Capra pyrenaica;50000.00;NA;Mammalia;Least Concern;LC;not_threatened
Capreolus capreolus;22500.00;NA;Mammalia;Least Concern;LC;not_threatened
Capreolus pygargus;43752.21;NA;Mammalia;Least Concern;LC;not_threatened
Castor fiber;19000.00;NA;Mammalia;Least Concern;LC;not_threatened
Cervus elaphus;165015.85;NA;Mammalia;Least Concern;LC;not_threatened
Chionomys gud;93.50;NA;Mammalia;Least Concern;LC;not_threatened
Chionomys roberti;93.50;NA;Mammalia;Least Concern;LC;not_threatened
Crocidura arispa;10.42;NA;Mammalia;Least Concern;LC;not_threatened
Crocidura leucodon;9.82;NA;Mammalia;Least Concern;LC;not_threatened
Crocidura pachyura;10.35;NA;Mammalia;Least Concern;LC;not_threatened
Crocidura russula;8.20;NA;Mammalia;Least Concern;LC;not_threatened
Crocidura serezkyensis;10.35;NA;Mammalia;Least Concern;LC;not_threatened
Crocidura sicula;6.90;NA;Mammalia;Least Concern;LC;not_threatened
Crocidura suaveolens;5.19;NA;Mammalia;Least Concern;LC;not_threatened
Dama dama;52375.00;NA;Mammalia;Least Concern;LC;not_threatened
Dicrostonyx torquatus;85.00;NA;Mammalia;Least Concern;LC;not_threatened
Dipus sagitta;85.65;NA;Mammalia;Least Concern;LC;not_threatened
Dryomys nitedula;33.60;NA;Mammalia;Least Concern;LC;not_threatened
Eliomys melanurus;98.70;NA;Mammalia;Least Concern;LC;not_threatened
Ellobius lutescens;117.31;NA;Mammalia;Least Concern;LC;not_threatened
Ellobius talpinus;40.00;NA;Mammalia;Least Concern;LC;not_threatened
Eptesicus bottae;14.23;NA;Mammalia;Least Concern;LC;not_threatened
Eptesicus nilssonii;10.72;NA;Mammalia;Least Concern;LC;not_threatened
Eptesicus serotinus;22.86;NA;Mammalia;Least Concern;LC;not_threatened
Erinaceus concolor;719.00;NA;Mammalia;Least Concern;LC;not_threatened
Erinaceus europaeus;771.00;NA;Mammalia;Least Concern;LC;not_threatened
Erinaceus roumanicus;744.55;NA;Mammalia;Least Concern;LC;not_threatened
Felis chaus;7392.98;NA;Mammalia;Least Concern;LC;not_threatened
Felis margarita;2524.99;NA;Mammalia;Least Concern;LC;not_threatened
Felis silvestris;5099.99;NA;Mammalia;Least Concern;LC;not_threatened
Genetta genetta;1800.00;NA;Mammalia;Least Concern;LC;not_threatened
Glis glis;128.09;NA;Mammalia;Least Concern;LC;not_threatened
Gulo gulo;17012.56;NA;Mammalia;Least Concern;LC;not_threatened
Hemiechinus auritus;342.00;NA;Mammalia;Least Concern;LC;not_threatened
Herpestes ichneumon;5174.98;NA;Mammalia;Least Concern;LC;not_threatened
Hystrix cristata;16250.00;NA;Mammalia;Least Concern;LC;not_threatened
Hystrix indica;12435.83;NA;Mammalia;Least Concern;LC;not_threatened
Lagurus lagurus;20.30;NA;Mammalia;Least Concern;LC;not_threatened
Lemmus lemmus;47.50;NA;Mammalia;Least Concern;LC;not_threatened
Lemmus sibiricus;52.27;NA;Mammalia;Least Concern;LC;not_threatened
Lepus capensis;3261.67;NA;Mammalia;Least Concern;LC;not_threatened
Lepus europaeus;3740.00;NA;Mammalia;Least Concern;LC;not_threatened
Lepus granatensis;4010.00;NA;Mammalia;Least Concern;LC;not_threatened
Lepus timidus;3048.00;NA;Mammalia;Least Concern;LC;not_threatened
Lepus tolai;1589.00;NA;Mammalia;Least Concern;LC;not_threatened
Lynx lynx;17950.00;NA;Mammalia;Least Concern;LC;not_threatened
Marmota baibacina;7500.00;NA;Mammalia;Least Concern;LC;not_threatened
Marmota bobak;5500.00;NA;Mammalia;Least Concern;LC;not_threatened
Marmota marmota;2010.00;NA;Mammalia;Least Concern;LC;not_threatened
Martes foina;1540.80;NA;Mammalia;Least Concern;LC;not_threatened
Martes martes;1300.00;NA;Mammalia;Least Concern;LC;not_threatened
Martes zibellina;1130.00;NA;Mammalia;Least Concern;LC;not_threatened
Meles leucurus;13000.00;NA;Mammalia;Least Concern;LC;not_threatened
Meles meles;13000.00;NA;Mammalia;Least Concern;LC;not_threatened
Meriones crassus;79.97;NA;Mammalia;Least Concern;LC;not_threatened
Meriones libycus;91.33;NA;Mammalia;Least Concern;LC;not_threatened
Meriones meridianus;62.10;NA;Mammalia;Least Concern;LC;not_threatened
Meriones persicus;100.00;NA;Mammalia;Least Concern;LC;not_threatened
Meriones tamariscinus;120.00;NA;Mammalia;Least Concern;LC;not_threatened
Meriones tristrami;105.00;NA;Mammalia;Least Concern;LC;not_threatened
Meriones vinogradovi;150.00;NA;Mammalia;Least Concern;LC;not_threatened
Mesocricetus raddei;111.73;NA;Mammalia;Least Concern;LC;not_threatened
Micromys minutus;6.00;NA;Mammalia;Least Concern;LC;not_threatened
Microtus agrestis;42.50;NA;Mammalia;Least Concern;LC;not_threatened
Microtus arvalis;28.00;NA;Mammalia;Least Concern;LC;not_threatened
Microtus brachycercus;37.99;NA;Mammalia;Least Concern;LC;not_threatened
Microtus daghestanicus;12.99;NA;Mammalia;Least Concern;LC;not_threatened
Microtus dogramacii;37.99;NA;Mammalia;Least Concern;LC;not_threatened
Microtus duodecimcostatus;23.00;NA;Mammalia;Least Concern;LC;not_threatened
Microtus felteni;24.34;NA;Mammalia;Least Concern;LC;not_threatened
Microtus guentheri;50.00;NA;Mammalia;Least Concern;LC;not_threatened
Microtus lusitanicus;24.82;NA;Mammalia;Least Concern;LC;not_threatened
Microtus majori;18.20;NA;Mammalia;Least Concern;LC;not_threatened
Microtus multiplex;23.17;NA;Mammalia;Least Concern;LC;not_threatened
Microtus savii;20.00;NA;Mammalia;Least Concern;LC;not_threatened
Microtus schidlovskii;37.99;NA;Mammalia;Least Concern;LC;not_threatened
Microtus socialis;48.00;NA;Mammalia;Least Concern;LC;not_threatened
Microtus subterraneus;19.50;NA;Mammalia;Least Concern;LC;not_threatened
